Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15595323	PA0125	NP_248815.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053846	PA14_01520	WP_003137009.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595324	PA0126	NP_248816.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053847	PA14_01540	WP_003137011.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595325	PA0127	NP_248817.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053848	PA14_01550	WP_003137013.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595326	PA0128	NP_248818.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053849	PA14_01560	WP_003101229.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595327	PA0129	NP_248819.1	gamma-aminobutyrate permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116053850	PA14_01580	WP_003137015.1	gamma-aminobutyrate permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15595328	PA0130	NP_248820.1	aldehyde dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053851	PA14_01600	WP_003101230.1	putative aldehyde dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595329	PA0131	NP_248821.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053852	PA14_01610	WP_003083790.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595330	PA0132	NP_248822.1	beta alanine--pyruvate transaminase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053853	PA14_01620	WP_003101231.1	beta alanine--pyruvate transaminase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595331	PA0133	NP_248823.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053854	PA14_01640	WP_003083805.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595332	PA0134	NP_248824.1	guanine deaminase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053855	PA14_01660	WP_003083808.1	guanine deaminase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595334	PA0136	NP_248826.1	ATP-binding component of ABC transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053856	PA14_01670	WP_003137020.1	putative ATP-binding component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595335	PA0137	NP_248827.1	ABC transporter permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116053857	PA14_01680	WP_003107144.1	putative permease of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595336	PA0138	NP_248828.1	ABC transporter permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116053858	PA14_01690	WP_011666530.1	putative permease of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595337	PA0139	NP_248829.1	alkyl hydroperoxide reductase subunit C	57977	Pseudomonas aeruginosa UCBPP-PA14	116053859	PA14_01710	WP_003083828.1	alkyl hydroperoxide reductase subunit C				
rbb	57945	Pseudomonas aeruginosa PAO1	15595338	PA0140	NP_248830.1	alkyl hydroperoxide reductase subunit F	57977	Pseudomonas aeruginosa UCBPP-PA14	116053860	PA14_01720	WP_003137023.1	alkyl hydroperoxide reductase subunit F				
rbb	57945	Pseudomonas aeruginosa PAO1	15595339	PA0141	NP_248831.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053861	PA14_01730	WP_009877352.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595340	PA0142	NP_248832.1	hydroxydechloroatrazine ethylaminohydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053862	PA14_01750	WP_003137026.1	hydroxydechloroatrazine ethylaminohydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	119167454	PA0143	NP_248833.2	nonspecific ribonucleoside hydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053863	PA14_01760	WP_003137027.1	nonspecific ribonucleoside hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595342	PA0144	NP_248834.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053865	PA14_01780	WP_031627647.1	putative nucleoside 2-deoxyribosyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595343	PA0145	NP_248835.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053866	PA14_01790	WP_003137030.1	putative nucleoside 2-deoxyribosyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595344	PA0146	NP_248836.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053867	PA14_01800	WP_003137032.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595345	PA0147	NP_248837.1	oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053868	PA14_01810	WP_003106716.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595346	PA0148	NP_248838.1	adenosine deaminase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053869	PA14_01830	WP_003083850.1	adenosine deaminase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595347	PA0149	NP_248839.1	sigma-70 factor, ECF subfamily	57977	Pseudomonas aeruginosa UCBPP-PA14	116053870	PA14_01840	WP_003083852.1	RNA polymerase ECF-subfamily sigma-70 factor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595348	PA0150	NP_248840.1	transmembrane sensor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053871	PA14_01860	WP_031632873.1	putative transmembrane sensor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595349	PA0151	NP_248841.1	TonB-dependent receptor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053872	PA14_01870	WP_003137036.1	putative TonB-dependent receptor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595350	PA0152	NP_248842.1	transcriptional regulator PcaQ	57977	Pseudomonas aeruginosa UCBPP-PA14	116053873	PA14_01890	WP_016254344.1	transcriptional regulator PcaQ				
rbb	57945	Pseudomonas aeruginosa PAO1	15595351	PA0153	NP_248843.1	protocatechuate 3,4-dioxygenase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053874	PA14_01900	WP_003102187.1	protocatechuate 3,4-dioxygenase, beta subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595352	PA0154	NP_248844.1	protocatechuate 3,4-dioxygenase, subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116053875	PA14_01910	WP_003137038.1	protocatechuate 3,4-dioxygenase, alpha subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595353	PA0155	NP_248845.1	transcriptional regulator PcaR	57977	Pseudomonas aeruginosa UCBPP-PA14	116053876	PA14_01930	WP_003137039.1	transcriptional regulator PcaR				
rbb	57945	Pseudomonas aeruginosa PAO1	15595354	PA0156	NP_248846.1	Resistance-Nodulation-cell Division (RND) efflux membrane fusion protein precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053877	PA14_01940	WP_003111470.1	putative RND efflux membrane fusion protein precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595355	PA0157	NP_248847.1	Resistance-Nodulation-cell Division (RND) efflux membrane fusion protein precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053878	PA14_01960	WP_003083872.1	putative RND efflux membrane fusion protein precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595356	PA0158	NP_248848.1	Resistance-Nodulation-cell Division (RND) efflux transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053879	PA14_01970	WP_003137043.1	putative RND efflux transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595357	PA0159	NP_248849.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053880	PA14_01980	WP_003083876.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595358	PA0160	NP_248850.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053881	PA14_01990	WP_003083879.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595359	PA0161	NP_248851.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053882	PA14_02010	WP_003137044.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595360	PA0162	NP_248852.1	histidine porin OpdC	57977	Pseudomonas aeruginosa UCBPP-PA14	116053883	PA14_02020	WP_003112121.1	putative outer membrane porin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595361	PA0163	NP_248853.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053884	PA14_02030	WP_003147081.1	AraC family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595362	PA0164	NP_248854.1	gamma-glutamyltranspeptidase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053885	PA14_02050	WP_003137047.1	putative gamma-glutamyltranspeptidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595363	PA0165	NP_248855.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053886	PA14_02060	WP_003102209.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595364	PA0166	NP_248856.1	transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053887	PA14_02070	WP_003083900.1	putative transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595365	PA0167	NP_248857.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053888	PA14_02090	WP_003137048.1	TetR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595366	PA0168	NP_248858.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053889	PA14_02100	WP_003137049.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595367	PA0169	NP_248859.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053890	PA14_02110	WP_003083910.1	GGDEF domain-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595368	PA0170	NP_248860.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053891	PA14_02130	WP_003083913.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595369	PA0171	NP_248861.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053892	PA14_02140	WP_003083916.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595370	PA0172	NP_248862.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053893	PA14_02150	WP_031627993.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595371	PA0173	NP_248863.1	chemotaxis-specific methylesterase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053894	PA14_02180	WP_003137050.1	chemotaxis-specific methylesterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595372	PA0174	NP_248864.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053895	PA14_02190	WP_003137051.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595373	PA0175	NP_248865.1	chemotaxis protein methyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053896	PA14_02200	WP_003083930.1	putative chemotaxis protein methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595374	PA0176	NP_248866.1	aerotaxis transducer Aer2	57977	Pseudomonas aeruginosa UCBPP-PA14	116053897	PA14_02220	WP_003137052.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15595375	PA0177	NP_248867.1	purine-binding chemotaxis protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053898	PA14_02230	WP_003083938.1	putative purine-binding chemotaxis protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595376	PA0178	NP_248868.1	two-component sensor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053899	PA14_02250	WP_003137053.1	putative two-component sensor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595377	PA0179	NP_248869.1	two-component response regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053900	PA14_02260	WP_003083943.1	putative two-component response regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595378	PA0180	NP_248870.1	chemotactic transducer for trichloroethylene [positive chemotaxis], CttP	57977	Pseudomonas aeruginosa UCBPP-PA14	116053901	PA14_02270	WP_003137055.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15595379	PA0181	NP_248871.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053902	PA14_02290	WP_003137057.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595380	PA0182	NP_248872.1	3-ketoacyl-(acyl-carrier-protein) reductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053903	PA14_02300	WP_031627652.1	3-ketoacyl-(acyl-carrier-protein) reductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595381	PA0183	NP_248873.1	arylsulfatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053904	PA14_02310	WP_003137060.1	arylsulfatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595382	PA0184	NP_248874.1	ATP-binding component of ABC transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053905	PA14_02330	WP_003137062.1	ABC transporter ATP-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595383	PA0185	NP_248875.1	ABC transporter permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116053906	PA14_02340	WP_031632870.1	putative permease of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595384	PA0186	NP_248876.1	ABC transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053907	PA14_02360	WP_003112655.1	putative binding protein component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595387	PA0189	NP_248879.1	porin	57977	Pseudomonas aeruginosa UCBPP-PA14	116053908	PA14_02370	WP_003137064.1	putative porin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595388	PA0190	NP_248880.1	acid phosphatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053909	PA14_02380	WP_003137066.1	putative acid phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595389	PA0191	NP_248881.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053910	PA14_02390	WP_003137069.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595390	PA0192	NP_248882.1	TonB-dependent receptor	57977	Pseudomonas aeruginosa UCBPP-PA14	116053911	PA14_02410	WP_003083968.1	putative TonB-dependent receptor				
rbb	57945	Pseudomonas aeruginosa PAO1	15595391	PA0193	NP_248883.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053912	PA14_02420	WP_003110976.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595392	PA0194	NP_248884.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116054406	PA14_02435	WP_003137071.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15600764	PA0195	NP_248885.1	NAD(P) transhydrogenase, subunit alpha part 1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053913	PA14_02450	WP_003083972.1	putative NAD(P) transhydrogenase, subunit alpha part 1				
rbb	57945	Pseudomonas aeruginosa PAO1	119167455	PA0195.1	NP_248886.2	NAD(P) transhydrogenase, subunit alpha part 2	57977	Pseudomonas aeruginosa UCBPP-PA14	116053914	PA14_02460	WP_003083974.1	putative NAD(P) transhydrogenase, subunit alpha part 2				
rbb	57945	Pseudomonas aeruginosa PAO1	15595393	PA0196	NP_248887.1	pyridine nucleotide transhydrogenase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053915	PA14_02470	WP_003083975.1	pyridine nucleotide transhydrogenase, beta subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595394	PA0197	NP_248888.1	TonB2	57977	Pseudomonas aeruginosa UCBPP-PA14	116053916	PA14_02490	WP_003117234.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595395	PA0198	NP_248889.1	transporter ExbB	57977	Pseudomonas aeruginosa UCBPP-PA14	116053917	PA14_02500	WP_003083979.1	transport protein ExbB				
rbb	57945	Pseudomonas aeruginosa PAO1	15595396	PA0199	NP_248890.1	transporter ExbD	57977	Pseudomonas aeruginosa UCBPP-PA14	116053918	PA14_02510	WP_003106175.1	transport protein ExbD				
rbb	57945	Pseudomonas aeruginosa PAO1	15595397	PA0200	NP_248891.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053919	PA14_02520	WP_003111981.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595398	PA0201	NP_248892.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053920	PA14_02530	WP_003106176.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595405	PA0208	NP_248899.1	malonate decarboxylase subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116053921	PA14_02550	WP_003083990.1	malonate decarboxylase alpha subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595406	PA0209	NP_248900.1	triphosphoribosyl-dephospho-CoA synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053922	PA14_02560	WP_003137092.1	triphosphoribosyl-dephospho-CoA synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595407	PA0210	NP_248901.1	malonate decarboxylase subunit delta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053923	PA14_02570	WP_003084001.1	malonate decarboxylase subunit delta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595408	PA0211	NP_248902.1	malonate decarboxylase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053924	PA14_02580	WP_003084003.1	malonate decarboxylase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595409	PA0212	NP_248903.1	malonate decarboxylase subunit gamma	57977	Pseudomonas aeruginosa UCBPP-PA14	116053925	PA14_02590	WP_003137094.1	malonate decarboxylase gamma subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595410	PA0213	NP_248904.1	phosphoribosyl-dephospho-CoA transferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053926	PA14_02610	WP_031632868.1	phosphoribosyl-dephospho-CoA transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595411	PA0214	NP_248905.1	acyl transferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053927	PA14_02620	WP_003137098.1	putative epsilon subunit of malonate decarboxylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595412	PA0215	NP_248906.1	malonate transporter MadL	57977	Pseudomonas aeruginosa UCBPP-PA14	116053928	PA14_02630	WP_003110240.1	putative malonate carrier protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595413	PA0216	NP_248907.1	malonate transporter MadM	57977	Pseudomonas aeruginosa UCBPP-PA14	116053929	PA14_02640	WP_003084016.1	putative malonate transporter, MadM subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15595414	PA0217	NP_248908.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053930	PA14_02650	WP_003084019.1	putative malonate utilization transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595415	PA0218	NP_248909.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053931	PA14_02660	WP_003084035.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595416	PA0219	NP_248910.1	aldehyde dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053932	PA14_02680	WP_003084042.1	putative aldehyde dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595417	PA0220	NP_248911.1	amino acid APC family transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053933	PA14_02690	WP_003084045.1	putative amino acid permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15595418	PA0221	NP_248912.1	aminotransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053934	PA14_02700	WP_003101901.1	putative aminotransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595419	PA0222	NP_248913.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053935	PA14_02720	WP_003137100.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595420	PA0223	NP_248914.1	dihydrodipicolinate synthetase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053936	PA14_02730	WP_003110235.1	putative dihydrodipicolinate synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595421	PA0224	NP_248915.1	class II aldolase/adducin domain protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053937	PA14_02740	WP_003084054.1	class II aldolase/adducin domain protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595422	PA0225	NP_248916.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053938	PA14_02750	WP_003112674.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595423	PA0226	NP_248917.1	CoA transferase, subunit A	57977	Pseudomonas aeruginosa UCBPP-PA14	116053939	PA14_02760	WP_003118609.1	putative CoA transferase, subunit A				
rbb	57945	Pseudomonas aeruginosa PAO1	15595424	PA0227	NP_248918.1	CoA transferase, subunit B	57977	Pseudomonas aeruginosa UCBPP-PA14	116053940	PA14_02770	WP_003084062.1	putative CoA transferase, subunit B				
rbb	57945	Pseudomonas aeruginosa PAO1	15595425	PA0228	NP_248919.1	beta-ketoadipyl CoA thiolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053941	PA14_02790	WP_003110233.1	beta-ketoadipyl CoA thiolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595426	PA0229	NP_248920.1	dicarboxylic acid transporter PcaT	57977	Pseudomonas aeruginosa UCBPP-PA14	116053942	PA14_02810	WP_003101889.1	dicarboxylic acid transporter PcaT				
rbb	57945	Pseudomonas aeruginosa PAO1	15595427	PA0230	NP_248921.1	3-carboxy-cis,cis-muconate cycloisomerase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053943	PA14_02830	WP_003137105.1	3-carboxy-cis,cis-muconate cycloisomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595428	PA0231	NP_248922.1	beta-ketoadipate enol-lactone hydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053944	PA14_02840	WP_003110231.1	beta-ketoadipate enol-lactone hydrolase				
